20	Zinc finger	InputFunction
18	Post-translational modification	InputFunction
17	Developmental stage	InputFunction
15	Involvement in disease	InputFunction
15	Repeat	InputFunction
15	Protein names	InputFunction
14	Tissue specificity	InputFunction
14	pH dependence	InputFunction
13	Compositional bias	InputFunction
12	Features	InputFunction
12	Non-terminal residue	InputFunction
12	Nucleotide binding	InputFunction
11	Protein families	InputFunction
11	Pathway	InputFunction
10	DNA binding	InputFunction
10	Keywords	InputFunction
8	Non-standard residue	InputFunction
7	com.sparkbeyond.runtime.feature.functions.ZeroComplexityFunctions.extractKeys[A,B](pairs: TraversableOnce[(A, B)]): Vector[A]	ReflectedMethodDef
7	Gene ontology (GO)	InputFunction
5	Mass	InputFunction
4	com.sparkbeyond.runtime.feature.functions.TextFunctions.sentimentDistribution(text: com.sparkbeyond.runtime.feature.types.SemanticWrapper): com.sparkbeyond.runtime.feature.types.Histogram[Double]	ReflectedMethodDef
4	Sequence	InputFunction
4	Gene names  (primary )	InputFunction
4	Length	InputFunction
3	3_utr_parsedFeats.csv.gz_G_by_Gene_name	ConstantFunction
3	com.sparkbeyond.runtime.feature.functions.TextFunctions.numbersUSFormat(s: com.sparkbeyond.runtime.feature.types.SemanticWrapper): Seq[Double]	ReflectedMethodDef
3	3_utr_parsedFeats.csv.gz_5utr_counts_by_Gene_name	ConstantFunction
3	3_utr_parsedFeats.csv.gz_GC_freq_by_Gene_name	ConstantFunction
3	3_utr_parsedFeats.csv.gz_Gene_start_bp_by_Gene_name	ConstantFunction
3	com.sparkbeyond.runtime.feature.context.MultiLookupContext.getOrEmpty(key: TKey): Seq[TMember]	ReflectedMethodDef
3	3_utr_parsedFeats.csv.gz_G_freq_by_Gene_name	ConstantFunction
3	3_utr_parsedFeats.csv.gz_3_UTR_start_1_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_3_UTR_end_1_by_Gene_name	ConstantFunction
2	com.sparkbeyond.runtime.feature.functions.Statistics.averageInt(i: scala.collection.GenTraversableOnce[Int]): Double	ReflectedMethodDef
2	3_utr_parsedFeats.csv.gz_5_UTR_end_3_by_Gene_name	ConstantFunction
2	scala.collection.SeqLike.indices: scala.collection.immutable.Range	ReflectedMethodDef
2	com.sparkbeyond.runtime.feature.functions.TextFunctions.numbers(s: com.sparkbeyond.runtime.feature.types.SemanticWrapper): Seq[Double]	ReflectedMethodDef
2	com.sparkbeyond.runtime.feature.functions.Statistics.average(i: scala.collection.GenTraversableOnce[Double]): Double	ReflectedMethodDef
2	3_utr_parsedFeats.csv.gz_C_freq_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_mode_ratio_freq_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_3_UTR_end_3_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_5_UTR_2_len_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_5_UTR_3_len_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_5_UTR_end_1_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_Gene_stable_ID_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_tot_3utr_len_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_T_freq_by_Gene_name	ConstantFunction
2	scala.Tuple2.apply[T1,T2](_1: T1,_2: T2): (T1,T2)	ReflectedMethodDef
2	3_utr_parsedFeats.csv.gz_5_UTR_1_len_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_5_UTR_start_2_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_5_UTR_end_2_by_Gene_name	ConstantFunction
2	3_utr_parsedFeats.csv.gz_C_by_Gene_name	ConstantFunction
1	com.sparkbeyond.runtime.feature.functions.SpecialFunctions.numericPrefix(s: String): Double	ReflectedMethodDef
1	com.sparkbeyond.runtime.feature.functions.SpecialFunctions.squared(num: Double): Double	ReflectedMethodDef
1	3_utr_parsedFeats.csv.gz_3_UTR_end_3_by_UniProtKBTrEMBL_ID	ConstantFunction
1	com.sparkbeyond.runtime.feature.functions.ImplicitFreeExtensionsDouble.sum(i: scala.collection.GenTraversableOnce[Double]): Double	ReflectedMethodDef
1	com.sparkbeyond.runtime.feature.functions.TextFunctions.countAbstractions(s: com.sparkbeyond.runtime.feature.types.SemanticWrapper): Vector[(String,Double)]	ReflectedMethodDef
1	com.sparkbeyond.runtime.feature.context.MultiLookupContext.getFirstOrDefault(key: TKey): TMember	ReflectedMethodDef
1	scala.math.cbrt(x: Double): Double	ReflectedMethodDef
1	com.sparkbeyond.runtime.feature.functions.ImplicitFreeExtensionsInt.product(i: scala.collection.GenTraversableOnce[Int]): Int	ReflectedMethodDef
1	Pharmaceutical use	InputFunction
1	3_utr_parsedFeats.csv.gz_5_UTR_2_len_by_Gene_stable_ID	ConstantFunction
1	scala.math.log10(x: Double): Double	ReflectedMethodDef
1	3_utr_parsedFeats.csv.gz_3_UTR_start_3_by_Gene_name	ConstantFunction
1	scala.collection.GenSeqLike.reverse: Repr	ReflectedMethodDef
1	com.sparkbeyond.runtime.feature.functions.Statistics.mostCommonValue[T](i: scala.collection.GenTraversableOnce[T]): Option[T]	ReflectedMethodDef
1	com.sparkbeyond.runtime.feature.functions.Statistics.diff(xs: scala.collection.GenTraversable[Double]): List[Double]	ReflectedMethodDef
